CustomerID,Name,Gender,Age,JoinDate,City
bcd31009-5fb7-49be-9f48-d9f645a2019e,Bassel Rashad,Male,45,2022-06-19 17:45:06,Aswan
75f96659-015c-4eeb-b19d-d81f2a7cdb1b,Nour Hassan,Female,46,2020-09-16 13:59:25,Giza
b8465abe-0605-4491-a33e-c6ea9cea0dfc,Hana Mahmoud,Female,55,2020-02-23 01:19:25,Sheikh Zayed
d7395eb5-899f-4b35-8138-482433c5ab48,Youssef Ibrahim,Male,34,2025-01-13 08:44:58,Mansoura
acbe55d4-1575-4af1-96d1-bf1a010b7af1,Ahmed Riad,Male,32,2022-08-11 00:29:03,Obour
f101fa79-ead3-4785-881a-fbee9fdb2e0e,Sara Mahmoud,Female,18,2023-08-09 12:53:48,Fayoum
5b89e0d3-a9a8-4a3e-bc23-04d39dafa223,Karim Aziz,Male,68,2023-03-24 02:05:00,Maadi
cf347ef7-02a4-4f10-a797-92958ae228b5,Tarek Hassan,Male,66,2024-07-04 22:13:36,Maadi
195bd39e-2807-4f7d-87fe-b9320604281b,Sara Mahmoud,Female,66,2023-01-17 12:22:06,Jeddah
c15529f9-6982-41c4-b8f1-c8a17a46f793,Youssef Fathi,Male,32,2021-02-08 20:05:29,Maadi
07e04656-2c24-4604-9040-b0c1e9911519,Bassel Khalid,Male,50,2021-08-19 12:20:44,Ismailia
f70efa43-7452-4e07-8dec-fbb6538b9b20,Nelly Khalid,Female,67,2022-04-10 17:26:33,Obour
aa49fcb7-02cd-476b-aa45-2bba8f86cd13,Nada Ali,Female,69,2023-10-13 05:48:30,6th of October
48b7ba20-cff3-4cf3-9462-5dc7c595b05c,Tarek Ibrahim,Male,34,2020-02-13 17:34:48,El Rehab
b0de41a1-acd1-483b-9a6e-ec4d41d2fcb9,Aya Riad,Female,19,2021-11-17 17:52:31,Nasr City
2ae9f48d-1636-4e7a-8ac5-829d81a5ced6,Hana Riad,Female,57,2025-04-10 18:31:19,Nasr City
d5790034-91da-4611-89c9-f5a7341dede2,Nelly Sami,Female,57,2023-11-14 17:42:58,Doha
7912c968-30ae-4c5b-ac7b-64b21102cff2,Khalid Khalid,Male,60,2020-03-17 22:45:32,Port Said
b6f66c8f-01fb-4818-b977-075b1a973978,Karim Fathi,Male,50,2020-11-25 00:27:30,Banha
9d70d61e-867a-4cba-8824-79eb057038f4,Karim Fouad,Male,62,2020-09-23 11:46:45,Suez
c169d3ad-c862-4a23-b919-a56711d1a111,Nadine Ali,Female,50,2024-03-27 23:31:57,Tunis
f09913a6-d55b-401b-94b0-902d2018bc60,Salma Salem,Female,62,2023-08-01 18:33:17,Giza
66a2b936-a3f1-4ae0-abc9-e445a6dee402,Tarek Younes,Male,65,2020-03-01 19:57:27,Fayoum
0858a0d4-e9a5-40d8-90c4-0ca39fb1107d,Khalid Ibrahim,Male,33,2024-05-11 16:45:20,Ain Sokhna
597d727e-49e5-4901-998c-da4fb337d501,Farah Fouad,Female,62,2025-05-04 02:09:18,Sharm El Sheikh
032a117c-d52c-40ce-89f5-6c969dcad76c,Tarek Mahmoud,Male,63,2023-09-01 23:35:41,Sohag
bd773254-351d-463d-8e4d-63cd35fd7dd0,Omar Hassan,Male,19,2023-01-20 08:42:30,Mansoura
2f9b5262-ace2-4f65-85ef-17a9bb0e9d23,Bassel Mahmoud,Male,30,2020-06-27 19:34:37,Helwan
79cf0ba5-7959-4ca1-bdef-c97542acd98d,Dina Ibrahim,Female,40,2021-09-30 20:38:29,Sheikh Zayed
f16abbb0-55e3-48a3-a73f-8610ed9b8a4f,Mohamed Ali,Male,43,2020-04-19 16:52:48,Beni Suef
51a88917-72f0-4d5d-9d8d-3929b1bc74e8,Salma Sami,Female,29,2025-01-04 08:13:51,Sharm El Sheikh
e817c005-6c2b-46a1-9dcb-e5f968a0d5bb,Sara Riad,Female,52,2023-02-20 18:30:43,Minya
aa4bd08f-0698-41c0-9342-b66ae6fd5aeb,Ahmed Sami,Male,35,2025-08-06 01:31:39,Minya
6dad6026-1c63-4a69-9856-2e16fcf67914,Hana Mahmoud,Female,66,2021-06-18 04:04:33,Mansoura
7d72cb5d-f649-46c3-86bd-57c02a967403,Ibrahim Riad,Male,45,2025-04-13 08:28:45,Fayoum
8e9cba3f-db8f-4117-9da0-9649f71a5fa5,Ahmed Rashad,Male,35,2021-11-02 05:30:13,Sheikh Zayed
548523b3-c4ae-4f79-b8eb-a04eb1e5628e,Nada Aziz,Female,33,2023-02-01 03:46:14,Damietta
0086866a-34fe-4f90-a37d-4169300ee55e,Mostafa Fouad,Male,65,2024-10-23 00:57:13,Helwan
dde90ad6-58f9-4335-a154-dd2cccaf96dc,Ahmed Riad,Male,43,2023-02-19 11:03:26,Alexandria
0b01bc56-579b-4adf-b389-b43ed84072e1,Karim Hassan,Male,26,2024-11-12 06:53:58,New Cairo
7ec6919e-738c-48fc-8abf-8f163c26787e,Dina El-Sayed,Female,58,2022-05-23 21:18:24,Assiut
77e5e444-ae3d-46b4-9e82-2c30879f0ce6,Sara Rashad,Female,26,2025-08-14 04:50:37,Sharm El Sheikh
77c32caa-3e79-4750-b93b-3740ccafc7c6,Sara Riad,Female,23,2022-09-03 18:42:01,Ain Sokhna
325b1ece-d79d-4721-954b-1fddfa8e4cd1,Omar Younes,Male,67,2024-11-15 04:54:08,Port Said
b6efd7ee-c40e-4941-ad0e-5983ea819337,Karim Ali,Male,18,2020-09-23 08:56:55,Minya
a695bdd2-b63b-4ae3-9475-ab6f0b0d1a34,Ali Ibrahim,Male,25,2024-01-12 20:57:17,New Cairo
e12d5216-cc9d-4c61-9ae7-dcfb28cceecf,Bassel Fathi,Male,62,2021-07-05 21:10:57,Giza
13fc105a-6764-498c-8185-d19cba1f562e,Ali El-Sayed,Male,65,2024-02-09 21:22:03,Sohag
0c327065-53ae-4594-ae27-10b272cbb691,Youssef Rashad,Male,51,2025-01-08 23:03:02,Tanta
a9c62d3c-9fb1-4878-a422-409ff38a31fc,Salma Younes,Female,47,2023-10-22 04:24:23,Giza
b0c05744-50eb-4c30-aadb-48179a33e44f,Nada Rashad,Female,31,2025-06-18 19:12:37,Mansoura
afc2938c-1a84-42a7-a226-94bc82c3edc8,Youssef Aziz,Male,20,2021-05-23 05:46:07,Sheikh Zayed
fb493150-85ad-43b2-9da0-0ffe325bf6be,Nelly Mahmoud,Female,29,2021-07-19 13:04:55,Suez
df8f372d-dedc-4f57-a0b0-780cd4689144,Nour Hassan,Female,20,2021-07-08 16:54:12,Maadi
fd5edd74-d148-4b22-9f9d-55d25763e115,Ibrahim Mahmoud,Male,51,2024-07-15 19:06:24,Fayoum
731e6e4c-fd53-43bb-ae7a-e6f4a750c5df,Karim Fathi,Male,38,2022-10-01 19:22:21,El Rehab
cec601ae-0b48-4bf4-97ef-efbb44d3c37f,Ahmed Rashad,Male,21,2024-06-03 19:02:47,Sheikh Zayed
497c82b7-063f-4b64-a0e3-ca51bd3c4b06,Nadine Fathi,Female,28,2021-08-30 17:34:43,El Gouna
0650b704-4eff-4852-9eef-2bf017bdc8d3,Ibrahim Khalid,Male,51,2024-12-14 03:16:42,Suez
9a2db10b-ad96-43b3-86ac-9c268e755716,Tarek Mahmoud,Male,42,2020-12-21 02:54:57,Hurghada
9c5ccdf9-b4b9-43f7-8ce1-b03582b0bf59,Nadine Ali,Female,43,2020-09-12 18:45:22,Minya
1cfb695f-d695-4c00-90a0-012bf69034a1,Mohamed Salem,Male,30,2020-11-02 08:27:43,Zagazig
